,middle,,end,,beginning,,side,,PV-middle,,PV-end,,PV-beginning,,PV-side,,,exact
0.1,0.06238845,0.00000321,0.06250037,0.00000351,0.06250406,0.00000279,0.06249549,0.00000201,0.06260924,0.000003,0.06249732,0.00000372,0.062501,0.00000334,0.0625002,0.00000269,0.05,0.0625
0.2,0.06205345,0.00000291,0.06250391,0.0000045,0.06249908,0.00000401,0.06249614,0.00000267,0.06295973,0.00000411,0.06250378,0.00000385,0.06249676,0.00000369,0.06250062,0.00000249,0.1,0.0625
0.3,0.06148837,0.00000345,0.06249478,0.00000505,0.06250619,0.00000335,0.0625011,0.00000376,0.06354974,0.00000377,0.06250513,0.000003,0.06249883,0.00000347,0.0624974,0.00000307,0.15,0.0625
0.4,0.0607126,0.00000327,0.06250171,0.00000395,0.06251438,0.00000413,0.06250425,0.00000509,0.06442467,0.00000381,0.06249582,0.00000475,0.06250272,0.00000336,0.06250333,0.000004,0.2,0.0625
0.5,0.05970902,0.00000399,0.06249958,0.00000511,0.06255655,0.00000456,0.06250151,0.00000593,0.0656393,0.00000346,0.06250087,0.00000571,0.06252,0.00000498,0.06249941,0.00000366,0.25,0.0625
0.6,0.05847827,0.00000665,0.06250161,0.00000456,0.06269824,0.00000455,0.06250291,0.00000419,0.06730366,0.00000643,0.06249886,0.00000563,0.06254867,0.0000044,0.0624995,0.00000494,0.3,0.0625
0.7,0.05706239,0.00000431,0.06251097,0.00000444,0.06310677,0.00000543,0.06250191,0.0000066,0.06956485,0.00000846,0.06249327,0.00000619,0.06267116,0.00000572,0.06248746,0.00000538,0.35,0.0625
0.8,0.05547204,0.00000603,0.06249703,0.00000473,0.06414566,0.00000589,0.06250486,0.00000514,0.07273425,0.00000709,0.06250891,0.0000052,0.06295693,0.0000063,0.06250089,0.00000513,0.4,0.0625
0.9,0.05378377,0.00000558,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,0.06250083,0.00000697,0.06372527,0.00000674,0.0625107,0.00000604,0.45,0.0625
1,0.05211838,0.00000517,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,0.06250205,0.00000508,NaN , NaN ,0.06250804,0.0000053,0.5,0.0625
1.2, NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,0.55,0.0625
1.5, NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,0.6,0.0625
1.8, NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,NaN , NaN ,0.65,0.0625
,,,,,,,,,,,,,,,,,0.7,0.0625
,,,,,,,,,,,,,,,,,0.75,0.0625
,,,,,,,,,,,,,,,,,0.8,0.0625
,,,,,,,,,,,,,,,,,0.85,0.0625
,,,,,,,,,,,,,,,,,0.9,0.0625
,,,,,,,,,,,,,,,,,0.95,0.0625
,,,,,,,,,,,,,,,,,1,0.0625
,,,,,,,,,,,,,,,,,1.05,0.0625
,,,,,,,,,,,,,,,,,1.1,0.0625
,,,,,,,,,,,,,,,,,1.15,0.0625
,,,,,,,,,,,,,,,,,1.2,0.0625
,,,,,,,,,,,,,,,,,1.25,0.0625
,,,,,,,,,,,,,,,,,1.3,0.0625
,,,,,,,,,,,,,,,,,1.35,0.0625
,,,,,,,,,,,,,,,,,1.4,0.0625
,,,,,,,,,,,,,,,,,1.45,0.0625
,,,,,,,,,,,,,,,,,1.5,0.0625
,,,,,,,,,,,,,,,,,1.55,0.0625
,,,,,,,,,,,,,,,,,1.6,0.0625
,,,,,,,,,,,,,,,,,1.65,0.0625
,,,,,,,,,,,,,,,,,1.7,0.0625
,,,,,,,,,,,,,,,,,1.75,0.0625
,,,,,,,,,,,,,,,,,1.8,0.0625
